,Experiment,Plot,"Tree
 number","Height
a.s.l., m.","Temperature
sum, d.d.","Site index
H100","1=pine
2=spruce
3=birch

Tree
species","Stem
diameter",Height,"Age when tree died

Tree
age","Year
died","1=snag, less than 1/3 of tree height broken
2=snag, more than 1/3 of tree height broken, but standing part higher than 1.3.m


3=log, fallen with roots
4=log, broken below 1.3 m
5=log, man made
6=log, butt or other stem part left during logging


Appearance","when died

Original
stem
volume","Current
stem
volume","Original
wood
density","Current
wood
density","Original
stem
mass","Current
stem
mass","Decay
class",Var.20,cmass/omass,N_vector,E_vector
29,7,3,18,130,1147,21,1,14.75,17.57,71,1995,3,0.14345,0.13339,476.44456519,464.3575419,64.586944369,58.533916626,1,NA,0.906280939559276,62.0011,22.74428
30,7,3,26,130,1147,21,1,12.85,16.66,68,1992,2,0.09954,0.08466,476.18917668,321.0951211,44.792877761,25.68879774,1,NA,0.573501838329454,62.0011,22.74428
31,7,3,70,130,1147,21,1,18.65,19.01,76,2000,1,0.24924,0.15754,480.00999338,479.00999338,113.05761776,71.312756467,1,NA,0.630764718732917,62.0011,22.74428
32,7,3,100,130,1147,21,1,18.05,18.82,70,1994,1,0.23121,0.1736,473.48627995,332.82186176,103.45365083,54.600092065,1,NA,0.527773467895507,62.0011,22.74428
33,7,3,115,130,1147,21,1,10.95,15.54,66,1990,2,0.06509,0.0447,477.33659497,425.77953448,29.360997823,16.130015986,1,NA,0.549368794726878,62.0011,22.74428
34,7,3,141,130,1147,21,1,13.9,17.19,66,1990,2,0.12259,0.09055,473.54224098,438.09882117,54.858708439,36.421216313,1,NA,0.663909474892186,62.0011,22.74428
35,7,3,154,130,1147,21,1,12.15,16.27,66,1990,1,0.08579,0.06762,475.3048113,474.3048113,38.533697775,30.308504316,1,NA,0.786545441160948,62.0011,22.74428
36,7,4,74,130,1147,21,1,17.7,17.87,66,1990,1,0.21465,0.14667,470.23075503,420.03460208,95.38360483,58.218118957,1,NA,0.610357713579402,62.0011,22.74428
37,7,4,102,130,1147,21,1,10.15,11.49,58,1982,3,0.05095,0.04331,468.34078155,301.97768763,22.549554865,12.3593277,2,NA,0.548096304960031,62.0011,22.74428
38,7,4,133,130,1147,21,1,17.8,14.1,42,1966,3,0.17486,0.11348,419.5432094,69.503281629,69.326452688,7.4534346173,5,NA,0.107512130338527,62.0011,22.74428
39,7,4,140,130,1147,21,1,12.2,14.83,66,1990,2,0.08829,0.08733,473.86814904,428.33701483,39.53673884,35.288444048,1,NA,0.892548173758279,62.0011,22.74428
40,7,4,206,130,1147,21,1,13.4,10.2,42,1966,3,0.07562,0.05358,428.06905413,325.81047382,30.59019987,16.496794302,3,NA,0.539283638946685,62.0011,22.74428
41,8,9,304,115,1157,28.9,1,7.2,11.35,60,1991,3,0.0267,0.02349,469.39048384,427.93733681,11.843425993,9.4993743995,2,NA,0.802079939125263,62.14537,24.71253
42,8,9,307,115,1157,28.9,1,7.95,11.69,54,1985,1,0.03238,0.03031,460.10545903,329.85074627,14.078812951,9.4478984328,2,NA,0.671072090074819,62.14537,24.71253
43,11,1,35,175,1069,26.3,1,13.95,15.56,50,1981,3,0.11549,0.06305,440.95819875,131.35295474,48.125317943,7.8263045874,3,NA,0.16262343651775,62.48961,24.34658
